-------------Average Rushing and Passing Percentage by Wind Speed-------------
Category	Games	Average Pass Percentage	Average Rush Percentage
Low	49	39.95%	60.05%
Moderate	61	40.74%	59.26%
High	7	44.89%	55.11%

-------------Total Points Based on Temperature-------------
1603512000	401247294	2	49	41.5°F
1604725200	401247309	2	21	42.6°F
1630728000	401282772	1	47	45.1°F
1631419200	401282773	1	31	43.4°F
1631937600	401282774	1	63	46.4°F
1632542400	401282775	1	20	38.3°F
1663387200	401404149	1	59	46.7°F
1662177600	401405067	1	51	46.1°F
1663992000	401405097	1	34	43.0°F
1664596800	401405100	2	27	34.2°F
1665806400	401405115	1	41	34.7°F
1694232000	401520202	1	35	48.1°F
1694836800	401520232	1	31	41.4°F
1695441600	401520260	1	31	32.8°F
1696651200	401520303	2	52	49.1°F
1697256000	401520321	1	52	35.1°F
1697860800	401520340	2	49	35.0°F
1699070400	401520368	1	41	32.6°F
1700283600	401520410	2	31	37.6°F
1725681600	401628347	1	12	42.1°F
1725076800	401628452	1	30	47.4°F
1726286400	401628479	1	28	41.3°F
1726891200	401628489	1	27	47.1°F
1728100800	401628505	2	17	49.3°F
1731128400	401628541	2	15	45.1°F

--- Warm Games ---
Date	Game ID	Home/Away	Total Points	Temperature
1441339200	400756883	2	17	61.5°F
1443844800	400763530	2	28	64.2°F
1474084800	400869111	1	45	50.1°F
1472875200	400869180	1	63	51.9°F
1506139200	400935364	2	28	72.3°F
1507953600	400935379	2	27	53.8°F
1535774400	401012888	2	17	69.0°F
1538193600	401012892	2	20	60.9°F
1570852800	401112150	2	42	62.0°F
1567224000	401112222	1	40	53.6°F
1569038400	401112224	2	14	80.8°F
1633147200	401282776	2	38	60.6°F
1662868800	401405077	1	56	52.4°F
1665201600	401405108	2	31	58.1°F
1693627200	401520162	1	30	50.8°F
1696046400	401520286	2	45	57.3°F
1729310400	401628518	2	7	53.6°F

-------------Completion Percentage Based on Wind Speed-------------

--- Low Wind ---
Date	Home/Away	Completion Percentage	Max Wind Speed
1444449600	1	73.91%	8.6 mph
1445054400	1	60.00%	7.6 mph
1446872400	1	69.23%	7.2 mph
1448686800	1	53.19%	7.6 mph
1474084800	1	53.33%	7.2 mph
1472875200	1	85.00%	8.2 mph
1473480000	1	65.85%	9.0 mph
1480136400	2	63.89%	9.1 mph
1477713600	2	64.00%	5.2 mph
1479013200	2	42.31%	5.2 mph
1479531600	1	43.75%	8.7 mph
1504324800	2	46.15%	6.8 mph
1505534400	1	60.87%	9.1 mph
1508558400	2	57.14%	9.5 mph
1509163200	1	65.00%	6.1 mph
1511586000	1	53.12%	4.8 mph
1541826000	2	66.67%	5.6 mph
1542430800	1	57.14%	9.4 mph
1538798400	1	71.43%	8.1 mph
1540008000	2	56.00%	8.5 mph
1536984000	1	77.78%	9.4 mph
1537588800	1	58.06%	9.5 mph
1541217600	1	64.71%	8.4 mph
1543035600	2	60.53%	9.8 mph
1570852800	2	50.00%	9.4 mph
1570248000	1	53.85%	9.7 mph
1567224000	1	57.58%	9.1 mph
1571457600	2	58.54%	6.9 mph
1572062400	1	57.14%	6.9 mph
1575090000	1	41.86%	5.6 mph
1604116800	1	61.54%	7.0 mph
1605416400	1	50.00%	9.2 mph
1606021200	2	66.67%	5.2 mph
1636171200	1	53.57%	7.7 mph
1630728000	1	76.47%	8.0 mph
1635566400	2	64.58%	5.4 mph
1636779600	2	65.52%	7.3 mph
1638680400	2	64.29%	6.5 mph
1663387200	1	80.77%	7.5 mph
1665806400	1	70.83%	7.4 mph
1667620800	2	48.15%	3.4 mph
1668229200	1	50.00%	9.4 mph
1670130000	1	64.71%	5.0 mph
1695441600	1	71.43%	9.8 mph
1697256000	1	86.36%	9.5 mph
1700283600	2	52.17%	9.0 mph
1700888400	1	80.95%	7.9 mph
1701579600	2	73.33%	8.7 mph
1729915200	1	70.00%	7.9 mph

--- Moderate Wind ---
Date	Home/Away	Completion Percentage	Max Wind Speed
1441339200	2	62.79%	16.2 mph
1442030400	1	69.23%	10.2 mph
1442635200	1	56.00%	14.8 mph
1443240000	1	56.00%	11.9 mph
1443844800	2	48.48%	14.0 mph
1446264000	2	59.26%	11.7 mph
1447477200	2	71.74%	12.8 mph
1448082000	2	65.79%	12.4 mph
1475899200	2	50.00%	11.3 mph
1474689600	1	60.00%	10.8 mph
1475294400	1	62.50%	12.1 mph
1477108800	1	71.43%	10.7 mph
1478318400	1	77.78%	16.0 mph
1504929600	1	58.62%	12.7 mph
1506139200	2	67.74%	12.3 mph
1507348800	1	45.71%	15.5 mph
1507953600	2	50.00%	16.3 mph
1509854400	1	61.54%	17.6 mph
1510376400	2	50.00%	15.3 mph
1510981200	2	42.31%	10.9 mph
1536379200	1	72.22%	11.7 mph
1538193600	2	62.50%	17.0 mph
1539403200	1	70.00%	12.6 mph
1572667200	2	55.17%	10.8 mph
1573880400	1	72.73%	18.2 mph
1567828800	1	64.52%	10.5 mph
1569038400	2	40.48%	16.1 mph
1569643200	1	74.07%	12.4 mph
1603512000	2	60.00%	15.3 mph
1604725200	2	52.94%	10.5 mph
1606539600	1	46.43%	14.9 mph
1637384400	2	72.50%	17.8 mph
1631419200	1	46.67%	11.1 mph
1631937600	1	70.59%	10.6 mph
1632542400	1	56.25%	16.9 mph
1633752000	2	56.41%	19.1 mph
1634961600	1	71.88%	11.6 mph
1637989200	1	70.00%	19.1 mph
1662177600	1	64.29%	11.5 mph
1662868800	1	77.27%	10.6 mph
1663992000	1	69.23%	11.6 mph
1664596800	2	75.00%	14.1 mph
1665201600	2	77.78%	12.0 mph
1667016000	1	57.69%	11.4 mph
1668834000	1	52.94%	16.0 mph
1669438800	2	52.00%	15.5 mph
1693627200	1	83.87%	15.6 mph
1694232000	1	82.14%	12.2 mph
1694836800	1	61.54%	10.0 mph
1696651200	2	69.57%	12.2 mph
1697860800	2	80.00%	11.2 mph
1699070400	1	64.86%	10.5 mph
1699678800	2	87.50%	11.5 mph
1725076800	1	59.26%	10.3 mph
1726286400	1	72.22%	10.6 mph
1726891200	1	58.33%	13.0 mph
1728100800	2	52.00%	16.9 mph
1729310400	2	62.50%	17.2 mph
1730520000	1	52.00%	13.0 mph
1732338000	1	74.29%	12.2 mph
1732942800	2	56.25%	12.2 mph

--- High Wind ---
Date	Home/Away	Completion Percentage	Max Wind Speed
1535774400	2	66.67%	23.1 mph
1574485200	2	62.50%	29.9 mph
1633147200	2	60.00%	31.9 mph
1696046400	2	69.57%	41.1 mph
1725681600	1	66.67%	22.5 mph
1727496000	1	55.56%	22.5 mph
1731128400	2	50.00%	23.8 mph

-------------Average Score Per Completion Percentage Range-------------
Range	Average Total Points
0-50	27.61
51-60	29.21
61-70	32.97
71-100	42.52
